研报名称,机构名称,发布时间,行业,研报地址
公用事业及环保产业行业研究：煤价弱稳预期下进入迎峰度夏期,国金证券,2025-06-20 00:00:00.000,电网设备,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=P47yvQhJvS52P+f3LJNJpDBRq90Se2Jx1k6j36GOmhs=
电网设备专题研究：全球电网需求共振，把握特高压和出海两条主线,源达信息,2025-06-18 00:00:00.000,电网设备,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=SXSNTWpkoNA9GMJLdw1V9XxLSexEbblLdNozfaPUabo=
公用事业行业2025年中期投资策略：加快构建新型电力系统，关注细分领域机会,东莞证券,2025-06-17 00:00:00.000,电网设备,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=r4bmWUXjWFqJEiQRb4G7FzXXvWj1SsH1KUxS7f2NqEo=
公用事业及环保产业行业研究：疆电外送三通道投产，绿电外送占比预计提升,国金证券,2025-06-15 00:00:00.000,电网设备,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=/zztiYH/lljjzpVRpCb/gpmze5sxnQFCmZkIPa3qrlU=
ESG行业周报：国家能源局启动氢能试点工作，推动全产业链创新发展,信达证券,2025-06-15 00:00:00.000,电网设备,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=ALQslglhDYV2zHkuA2uvfXMq9z4DJBjxeQwZGHXzezE=
面向双馈风电场+串补系统的次同步振荡快速自适应抑制控制,天津大学,2025-06-09 00:00:00.000,电网设备,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=ezbXk6xnu/vida2lPUEpFfv6LHc05NF/CxwQacjBDIM=
公用事业行业双周报：国家能源局发布4月可再生能源绿色电力证书相关数据,东莞证券,2025-06-06 00:00:00.000,电网设备,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=qX293q9C0Tz7A/hUB7QO+XiHP3mDKm+ENQqxGSXEuw0=
公用事业行业专题：中证全指公用事业指数型基金投资价值分析,国信证券,2025-06-05 00:00:00.000,电网设备,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=5uKQ4/UvUDOeNxHGdDEcAra+O44b1ltNNG/8B1N+4DI=
公用环保2025年6月投资策略：两部委印发《关于有序推动绿电直连发展有关事项的通知》，促进新能源就近就地消纳,国信证券,2025-06-05 00:00:00.000,电网设备,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=5uKQ4/UvUDOeNxHGdDEcApJdXjourVY6LeIurY16suQ=
电力行业2025年中期投资策略：静待博弈下的新平衡,民生证券,2025-05-30 00:00:00.000,电网设备,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=JdYAnXpHww2nYkEowrV4gLTXL0UsoPIIU0k+7pNcSic=
电力设备行业点评报告：25Q1工控行业销售额同比转正，多产业投资热情边际上升,东吴证券,2025-05-30 00:00:00.000,电网设备,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=JdYAnXpHww2nYkEowrV4gMNftOgVf+/a0wadIBAZKWE=
